id,name
htpv,Phỏng vấn
uttt,Ưu tiên xét / Tuyển thẳng
xtkh,Kết hợp
dgtd,Đánh giá tư duy
dgsg,Đánh giá năng lực - ĐHQG-HCM
dghn,Đánh giá năng lực - ĐHQG-HN
dgcb,Đánh giá năng lực chuyên biệt - HCMUE
dgsp,Đánh giá năng lực - HNUE
dgca,Đánh giá năng lực - Bộ Công an
vsat,Đánh giá đầu vào Đại học
thpt,Tốt nghiệp THPT
thhb,Học bạ THPT
ccqt,Chứng chỉ quốc tế
